update,frames,Games,duration,eps
15,15,1,0,0.9813333333333333
update,frames,Games,duration,eps
16,16,1,0,0.98
update,frames,Games,duration,eps
17,17,1,0,0.9786666666666667
update,frames,Games,duration,eps
18,18,1,0,0.9773333333333334
update,frames,Games,duration,eps
19,19,1,0,0.976
update,frames,Games,duration,eps
20,20,1,0,0.9746666666666667
update,frames,Games,duration,eps
21,21,1,0,0.9733333333333334
update,frames,Games,duration,eps
22,22,1,0,0.972
update,frames,Games,duration,eps
23,23,1,0,0.9706666666666667
update,frames,Games,duration,eps
24,24,1,0,0.9693333333333334
update,frames,Games,duration,eps
25,25,1,0,0.968
update,frames,Games,duration,eps
26,26,1,0,0.9666666666666667
update,frames,Games,duration,eps
27,27,1,0,0.9653333333333334
update,frames,Games,duration,eps
28,28,1,0,0.964
update,frames,Games,duration,eps
29,29,1,0,0.9626666666666667
update,frames,Games,duration,eps
30,30,2,0,0.9613333333333334
update,frames,Games,duration,eps
31,31,2,0,0.96
update,frames,Games,duration,eps
32,32,2,0,0.9586666666666667
update,frames,Games,duration,eps
33,33,2,0,0.9573333333333334
update,frames,Games,duration,eps
34,34,2,0,0.956
update,frames,Games,duration,eps
35,35,2,0,0.9546666666666667
update,frames,Games,duration,eps
36,36,2,0,0.9533333333333334
update,frames,Games,duration,eps
37,37,2,0,0.952
update,frames,Games,duration,eps
38,38,2,0,0.9506666666666667
update,frames,Games,duration,eps
39,39,2,0,0.9493333333333334
update,frames,Games,duration,eps
40,40,2,0,0.948
update,frames,Games,duration,eps
41,41,2,0,0.9466666666666667
update,frames,Games,duration,eps
42,42,2,0,0.9453333333333334
update,frames,Games,duration,eps
43,43,2,0,0.944
update,frames,Games,duration,eps
44,44,2,0,0.9426666666666667
update,frames,Games,duration,eps
45,45,3,0,0.9413333333333334
update,frames,Games,duration,eps
46,46,3,0,0.94
update,frames,Games,duration,eps
47,47,3,0,0.9386666666666666
update,frames,Games,duration,eps
48,48,3,0,0.9373333333333334
update,frames,Games,duration,eps
49,49,3,0,0.9359999999999999
update,frames,Games,duration,eps
50,50,3,0,0.9346666666666666
update,frames,Games,duration,eps
51,51,3,0,0.9333333333333333
update,frames,Games,duration,eps
52,52,3,0,0.9319999999999999
update,frames,Games,duration,eps
53,53,3,0,0.9306666666666666
update,frames,Games,duration,eps
54,54,3,0,0.9293333333333333
update,frames,Games,duration,eps
55,55,3,0,0.928
update,frames,Games,duration,eps
56,56,3,0,0.9266666666666666
update,frames,Games,duration,eps
57,57,3,0,0.9253333333333333
update,frames,Games,duration,eps
58,58,3,0,0.924
update,frames,Games,duration,eps
59,59,3,0,0.9226666666666666
update,frames,Games,duration,eps
60,60,4,0,0.9213333333333333
update,frames,Games,duration,eps
61,61,4,0,0.92
update,frames,Games,duration,eps
62,62,4,0,0.9186666666666666
update,frames,Games,duration,eps
63,63,4,0,0.9173333333333333
update,frames,Games,duration,eps
64,64,4,0,0.916
update,frames,Games,duration,eps
65,65,4,0,0.9146666666666666
update,frames,Games,duration,eps
66,66,4,0,0.9133333333333333
update,frames,Games,duration,eps
67,67,4,0,0.912
update,frames,Games,duration,eps
68,68,4,0,0.9106666666666666
update,frames,Games,duration,eps
69,69,4,0,0.9093333333333333
update,frames,Games,duration,eps
70,70,4,0,0.908
update,frames,Games,duration,eps
71,71,4,0,0.9066666666666666
update,frames,Games,duration,eps
72,72,4,0,0.9053333333333333
update,frames,Games,duration,eps
73,73,4,0,0.904
update,frames,Games,duration,eps
74,74,4,0,0.9026666666666667
update,frames,Games,duration,eps
75,75,5,0,0.9013333333333333
update,frames,Games,duration,eps
76,76,5,0,0.9
update,frames,Games,duration,eps
77,77,5,0,0.8986666666666667
update,frames,Games,duration,eps
78,78,5,0,0.8973333333333333
update,frames,Games,duration,eps
79,79,5,0,0.896
update,frames,Games,duration,eps
80,80,5,0,0.8946666666666667
update,frames,Games,duration,eps
81,81,5,0,0.8933333333333333
update,frames,Games,duration,eps
82,82,5,0,0.892
update,frames,Games,duration,eps
83,83,5,0,0.8906666666666667
update,frames,Games,duration,eps
84,84,5,0,0.8893333333333333
update,frames,Games,duration,eps
85,85,5,0,0.888
update,frames,Games,duration,eps
86,86,5,0,0.8866666666666667
update,frames,Games,duration,eps
87,87,5,0,0.8853333333333333
update,frames,Games,duration,eps
88,88,5,0,0.884
update,frames,Games,duration,eps
89,89,5,0,0.8826666666666667
update,frames,Games,duration,eps
90,90,6,0,0.8813333333333333
update,frames,Games,duration,eps
91,91,6,0,0.88
update,frames,Games,duration,eps
92,92,6,0,0.8786666666666667
update,frames,Games,duration,eps
93,93,6,0,0.8773333333333333
update,frames,Games,duration,eps
94,94,6,0,0.876
update,frames,Games,duration,eps
95,95,6,0,0.8746666666666667
update,frames,Games,duration,eps
