main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=3000, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 15 | F 15 | G 1 | D 0 | EPS 0.981
U 16 | F 16 | G 1 | D 0 | EPS 0.980
U 17 | F 17 | G 1 | D 0 | EPS 0.979
U 18 | F 18 | G 1 | D 0 | EPS 0.977
U 19 | F 19 | G 1 | D 0 | EPS 0.976
U 20 | F 20 | G 1 | D 0 | EPS 0.975
U 21 | F 21 | G 1 | D 0 | EPS 0.973
U 22 | F 22 | G 1 | D 0 | EPS 0.972
U 23 | F 23 | G 1 | D 0 | EPS 0.971
U 24 | F 24 | G 1 | D 0 | EPS 0.969
U 25 | F 25 | G 1 | D 0 | EPS 0.968
U 26 | F 26 | G 1 | D 0 | EPS 0.967
U 27 | F 27 | G 1 | D 0 | EPS 0.965
U 28 | F 28 | G 1 | D 0 | EPS 0.964
U 29 | F 29 | G 1 | D 0 | EPS 0.963
U 30 | F 30 | G 2 | D 0 | EPS 0.961
U 31 | F 31 | G 2 | D 0 | EPS 0.960
U 32 | F 32 | G 2 | D 0 | EPS 0.959
U 33 | F 33 | G 2 | D 0 | EPS 0.957
U 34 | F 34 | G 2 | D 0 | EPS 0.956
U 35 | F 35 | G 2 | D 0 | EPS 0.955
U 36 | F 36 | G 2 | D 0 | EPS 0.953
U 37 | F 37 | G 2 | D 0 | EPS 0.952
U 38 | F 38 | G 2 | D 0 | EPS 0.951
U 39 | F 39 | G 2 | D 0 | EPS 0.949
U 40 | F 40 | G 2 | D 0 | EPS 0.948
U 41 | F 41 | G 2 | D 0 | EPS 0.947
U 42 | F 42 | G 2 | D 0 | EPS 0.945
U 43 | F 43 | G 2 | D 0 | EPS 0.944
U 44 | F 44 | G 2 | D 0 | EPS 0.943
U 45 | F 45 | G 3 | D 0 | EPS 0.941
U 46 | F 46 | G 3 | D 0 | EPS 0.940
U 47 | F 47 | G 3 | D 0 | EPS 0.939
U 48 | F 48 | G 3 | D 0 | EPS 0.937
U 49 | F 49 | G 3 | D 0 | EPS 0.936
U 50 | F 50 | G 3 | D 0 | EPS 0.935
U 51 | F 51 | G 3 | D 0 | EPS 0.933
U 52 | F 52 | G 3 | D 0 | EPS 0.932
U 53 | F 53 | G 3 | D 0 | EPS 0.931
U 54 | F 54 | G 3 | D 0 | EPS 0.929
U 55 | F 55 | G 3 | D 0 | EPS 0.928
U 56 | F 56 | G 3 | D 0 | EPS 0.927
U 57 | F 57 | G 3 | D 0 | EPS 0.925
U 58 | F 58 | G 3 | D 0 | EPS 0.924
U 59 | F 59 | G 3 | D 0 | EPS 0.923
U 60 | F 60 | G 4 | D 0 | EPS 0.921
U 61 | F 61 | G 4 | D 0 | EPS 0.920
U 62 | F 62 | G 4 | D 0 | EPS 0.919
U 63 | F 63 | G 4 | D 0 | EPS 0.917
U 64 | F 64 | G 4 | D 0 | EPS 0.916
U 65 | F 65 | G 4 | D 0 | EPS 0.915
U 66 | F 66 | G 4 | D 0 | EPS 0.913
U 67 | F 67 | G 4 | D 0 | EPS 0.912
U 68 | F 68 | G 4 | D 0 | EPS 0.911
U 69 | F 69 | G 4 | D 0 | EPS 0.909
U 70 | F 70 | G 4 | D 0 | EPS 0.908
U 71 | F 71 | G 4 | D 0 | EPS 0.907
U 72 | F 72 | G 4 | D 0 | EPS 0.905
U 73 | F 73 | G 4 | D 0 | EPS 0.904
U 74 | F 74 | G 4 | D 0 | EPS 0.903
U 75 | F 75 | G 5 | D 0 | EPS 0.901
U 76 | F 76 | G 5 | D 0 | EPS 0.900
U 77 | F 77 | G 5 | D 0 | EPS 0.899
U 78 | F 78 | G 5 | D 0 | EPS 0.897
