update,frames,Games,duration,eps,Loss
15,15,1,0,0.9813333333333333,1.0
update,frames,Games,duration,eps,Loss
16,16,1,0,0.98,1.0
update,frames,Games,duration,eps,Loss
17,17,1,0,0.9786666666666667,1.0
update,frames,Games,duration,eps,Loss
18,18,1,0,0.9773333333333334,1.0
update,frames,Games,duration,eps,Loss
19,19,1,0,0.976,1.0
update,frames,Games,duration,eps,Loss
20,20,1,0,0.9746666666666667,1.0
update,frames,Games,duration,eps,Loss
21,21,1,0,0.9733333333333334,1.0
update,frames,Games,duration,eps,Loss
22,22,1,0,0.972,1.0
update,frames,Games,duration,eps,Loss
23,23,1,0,0.9706666666666667,1.0
update,frames,Games,duration,eps,Loss
24,24,1,0,0.9693333333333334,1.0
update,frames,Games,duration,eps,Loss
25,25,1,0,0.968,1.0
update,frames,Games,duration,eps,Loss
26,26,1,0,0.9666666666666667,1.0
update,frames,Games,duration,eps,Loss
27,27,1,0,0.9653333333333334,1.0
update,frames,Games,duration,eps,Loss
28,28,1,0,0.964,1.0
update,frames,Games,duration,eps,Loss
29,29,1,0,0.9626666666666667,1.0
update,frames,Games,duration,eps,Loss
30,30,2,0,0.9613333333333334,0.0
update,frames,Games,duration,eps,Loss
31,31,2,0,0.96,0.0
update,frames,Games,duration,eps,Loss
32,32,2,0,0.9586666666666667,0.0
update,frames,Games,duration,eps,Loss
33,33,2,0,0.9573333333333334,0.0
update,frames,Games,duration,eps,Loss
34,34,2,0,0.956,0.0
update,frames,Games,duration,eps,Loss
35,35,2,0,0.9546666666666667,0.0
update,frames,Games,duration,eps,Loss
36,36,2,0,0.9533333333333334,0.0
update,frames,Games,duration,eps,Loss
37,37,2,0,0.952,0.0
update,frames,Games,duration,eps,Loss
38,38,2,0,0.9506666666666667,0.0
update,frames,Games,duration,eps,Loss
39,39,2,0,0.9493333333333334,0.0
update,frames,Games,duration,eps,Loss
40,40,2,0,0.948,0.0
update,frames,Games,duration,eps,Loss
41,41,2,0,0.9466666666666667,0.0
update,frames,Games,duration,eps,Loss
42,42,2,0,0.9453333333333334,0.0
update,frames,Games,duration,eps,Loss
43,43,2,0,0.944,0.0
update,frames,Games,duration,eps,Loss
44,44,2,0,0.9426666666666667,0.0
update,frames,Games,duration,eps,Loss
45,45,3,0,0.9413333333333334,1.0
update,frames,Games,duration,eps,Loss
46,46,3,0,0.94,1.0
update,frames,Games,duration,eps,Loss
47,47,3,0,0.9386666666666666,1.0
update,frames,Games,duration,eps,Loss
48,48,3,0,0.9373333333333334,1.0
update,frames,Games,duration,eps,Loss
49,49,3,0,0.9359999999999999,1.0
update,frames,Games,duration,eps,Loss
50,50,3,0,0.9346666666666666,1.0
update,frames,Games,duration,eps,Loss
51,51,3,0,0.9333333333333333,1.0
update,frames,Games,duration,eps,Loss
52,52,3,0,0.9319999999999999,1.0
update,frames,Games,duration,eps,Loss
53,53,3,0,0.9306666666666666,1.0
update,frames,Games,duration,eps,Loss
54,54,3,0,0.9293333333333333,1.0
