main.py --seed 7

Namespace(algo='q-learning', convg=0.01, env='tokens-v0', frames=7500, games=500, log_interval=1, lr=0.01, model=None, save_interval=30, seed=7)

Environments loaded

Training status loaded

U 15 | F 15 | G 1 | D 0 | EPS 0.981 | L 1.000 | R 1.000 | Avg L 0.067 | Avg R 1.000
U 16 | F 16 | G 1 | D 0 | EPS 0.980 | L 1.000 | R 1.000 | Avg L 0.062 | Avg R 1.000
U 17 | F 17 | G 1 | D 0 | EPS 0.979 | L 1.000 | R 1.000 | Avg L 0.059 | Avg R 1.000
U 18 | F 18 | G 1 | D 0 | EPS 0.977 | L 1.000 | R 1.000 | Avg L 0.056 | Avg R 1.000
U 19 | F 19 | G 1 | D 0 | EPS 0.976 | L 1.000 | R 1.000 | Avg L 0.053 | Avg R 1.000
U 20 | F 20 | G 1 | D 0 | EPS 0.975 | L 1.000 | R 1.000 | Avg L 0.050 | Avg R 1.000
U 21 | F 21 | G 1 | D 0 | EPS 0.973 | L 1.000 | R 1.000 | Avg L 0.048 | Avg R 1.000
U 22 | F 22 | G 1 | D 0 | EPS 0.972 | L 1.000 | R 1.000 | Avg L 0.045 | Avg R 1.000
U 23 | F 23 | G 1 | D 0 | EPS 0.971 | L 1.000 | R 1.000 | Avg L 0.043 | Avg R 1.000
U 24 | F 24 | G 1 | D 0 | EPS 0.969 | L 1.000 | R 1.000 | Avg L 0.042 | Avg R 1.000
U 25 | F 25 | G 1 | D 0 | EPS 0.968 | L 1.000 | R 1.000 | Avg L 0.040 | Avg R 1.000
U 26 | F 26 | G 1 | D 0 | EPS 0.967 | L 1.000 | R 1.000 | Avg L 0.038 | Avg R 1.000
U 27 | F 27 | G 1 | D 0 | EPS 0.965 | L 1.000 | R 1.000 | Avg L 0.037 | Avg R 1.000
U 28 | F 28 | G 1 | D 0 | EPS 0.964 | L 1.000 | R 1.000 | Avg L 0.036 | Avg R 1.000
U 29 | F 29 | G 1 | D 0 | EPS 0.963 | L 1.000 | R 1.000 | Avg L 0.034 | Avg R 1.000
U 30 | F 30 | G 2 | D 0 | EPS 0.961 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 31 | F 31 | G 2 | D 0 | EPS 0.960 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 32 | F 32 | G 2 | D 0 | EPS 0.959 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 33 | F 33 | G 2 | D 0 | EPS 0.957 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 34 | F 34 | G 2 | D 0 | EPS 0.956 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 35 | F 35 | G 2 | D 0 | EPS 0.955 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 36 | F 36 | G 2 | D 0 | EPS 0.953 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 37 | F 37 | G 2 | D 0 | EPS 0.952 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 38 | F 38 | G 2 | D 0 | EPS 0.951 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 39 | F 39 | G 2 | D 0 | EPS 0.949 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 40 | F 40 | G 2 | D 0 | EPS 0.948 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 41 | F 41 | G 2 | D 0 | EPS 0.947 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 42 | F 42 | G 2 | D 0 | EPS 0.945 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 43 | F 43 | G 2 | D 0 | EPS 0.944 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 44 | F 44 | G 2 | D 0 | EPS 0.943 | L 0.000 | R 0.000 | Avg L 0.000 | Avg R 0.000
U 45 | F 45 | G 3 | D 0 | EPS 0.941 | L 1.000 | R 1.000 | Avg L 0.022 | Avg R 0.333
U 46 | F 46 | G 3 | D 0 | EPS 0.940 | L 1.000 | R 1.000 | Avg L 0.022 | Avg R 0.333
U 47 | F 47 | G 3 | D 0 | EPS 0.939 | L 1.000 | R 1.000 | Avg L 0.021 | Avg R 0.333
U 48 | F 48 | G 3 | D 0 | EPS 0.937 | L 1.000 | R 1.000 | Avg L 0.021 | Avg R 0.333
U 49 | F 49 | G 3 | D 0 | EPS 0.936 | L 1.000 | R 1.000 | Avg L 0.020 | Avg R 0.333
U 50 | F 50 | G 3 | D 0 | EPS 0.935 | L 1.000 | R 1.000 | Avg L 0.020 | Avg R 0.333
U 51 | F 51 | G 3 | D 0 | EPS 0.933 | L 1.000 | R 1.000 | Avg L 0.020 | Avg R 0.333
U 52 | F 52 | G 3 | D 0 | EPS 0.932 | L 1.000 | R 1.000 | Avg L 0.019 | Avg R 0.333
U 53 | F 53 | G 3 | D 0 | EPS 0.931 | L 1.000 | R 1.000 | Avg L 0.019 | Avg R 0.333
U 54 | F 54 | G 3 | D 0 | EPS 0.929 | L 1.000 | R 1.000 | Avg L 0.019 | Avg R 0.333
U 55 | F 55 | G 3 | D 0 | EPS 0.928 | L 1.010 | R 1.000 | Avg L 0.018 | Avg R 0.333
U 56 | F 56 | G 3 | D 0 | EPS 0.927 | L 1.010 | R 1.000 | Avg L 0.018 | Avg R 0.333
U 57 | F 57 | G 3 | D 0 | EPS 0.925 | L 1.020 | R 1.000 | Avg L 0.018 | Avg R 0.333
U 58 | F 58 | G 3 | D 0 | EPS 0.924 | L 1.020 | R 1.000 | Avg L 0.018 | Avg R 0.333
U 59 | F 59 | G 3 | D 0 | EPS 0.923 | L 1.020 | R 1.000 | Avg L 0.017 | Avg R 0.333
U 60 | F 60 | G 4 | D 0 | EPS 0.921 | L 2.020 | R 2.000 | Avg L 0.034 | Avg R 0.500
U 61 | F 61 | G 4 | D 0 | EPS 0.920 | L 2.020 | R 2.000 | Avg L 0.033 | Avg R 0.500
U 62 | F 62 | G 4 | D 0 | EPS 0.919 | L 2.020 | R 2.000 | Avg L 0.033 | Avg R 0.500
U 63 | F 63 | G 4 | D 0 | EPS 0.917 | L 2.020 | R 2.000 | Avg L 0.032 | Avg R 0.500
U 64 | F 64 | G 4 | D 0 | EPS 0.916 | L 2.020 | R 2.000 | Avg L 0.032 | Avg R 0.500
U 65 | F 65 | G 4 | D 0 | EPS 0.915 | L 2.020 | R 2.000 | Avg L 0.031 | Avg R 0.500
