main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.978 | L 335.978 | R 336.000 | Avg L 0.034 | Avg R 0.505
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.956 | L 646.962 | R 478.000 | Avg L 0.032 | Avg R 0.478
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.933 | L 982.918 | R 499.000 | Avg L 0.033 | Avg R 0.499
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.911 | L 1295.739 | R 489.000 | Avg L 0.032 | Avg R 0.489
U 50000 | F 50000 | G 3333 | D 5 | EPS 0.889 | L 1621.639 | R 488.000 | Avg L 0.032 | Avg R 0.488
U 60000 | F 60000 | G 4000 | D 7 | EPS 0.867 | L 1961.583 | R 508.000 | Avg L 0.033 | Avg R 0.508
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.844 | L 2284.520 | R 500.000 | Avg L 0.033 | Avg R 0.500
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.822 | L 2619.310 | R 502.000 | Avg L 0.033 | Avg R 0.502
U 90000 | F 90000 | G 6000 | D 10 | EPS 0.800 | L 2966.138 | R 518.000 | Avg L 0.033 | Avg R 0.518
U 100000 | F 100000 | G 6666 | D 11 | EPS 0.778 | L 3314.972 | R 519.000 | Avg L 0.033 | Avg R 0.519
U 110000 | F 110000 | G 7333 | D 13 | EPS 0.756 | L 3668.850 | R 524.000 | Avg L 0.033 | Avg R 0.524
U 120000 | F 120000 | G 8000 | D 14 | EPS 0.733 | L 4005.336 | R 525.000 | Avg L 0.033 | Avg R 0.525
U 130000 | F 130000 | G 8666 | D 15 | EPS 0.711 | L 4341.859 | R 503.000 | Avg L 0.033 | Avg R 0.503
U 140000 | F 140000 | G 9333 | D 16 | EPS 0.689 | L 4676.626 | R 515.000 | Avg L 0.033 | Avg R 0.515
U 150000 | F 150000 | G 10000 | D 18 | EPS 0.667 | L 5041.168 | R 535.000 | Avg L 0.034 | Avg R 0.535
U 160000 | F 160000 | G 10666 | D 19 | EPS 0.644 | L 5390.845 | R 533.000 | Avg L 0.034 | Avg R 0.533
U 170000 | F 170000 | G 11333 | D 20 | EPS 0.622 | L 5717.911 | R 498.000 | Avg L 0.034 | Avg R 0.498
U 180000 | F 180000 | G 12000 | D 21 | EPS 0.600 | L 6064.284 | R 504.000 | Avg L 0.034 | Avg R 0.504
U 190000 | F 190000 | G 12666 | D 22 | EPS 0.578 | L 6409.614 | R 525.000 | Avg L 0.034 | Avg R 0.525
U 200000 | F 200000 | G 13333 | D 24 | EPS 0.556 | L 6767.829 | R 528.000 | Avg L 0.034 | Avg R 0.528
U 210000 | F 210000 | G 14000 | D 25 | EPS 0.533 | L 7087.687 | R 496.000 | Avg L 0.034 | Avg R 0.496
U 220000 | F 220000 | G 14666 | D 26 | EPS 0.511 | L 7413.925 | R 495.000 | Avg L 0.034 | Avg R 0.495
U 230000 | F 230000 | G 15333 | D 27 | EPS 0.489 | L 7746.189 | R 510.000 | Avg L 0.034 | Avg R 0.510
U 240000 | F 240000 | G 16000 | D 29 | EPS 0.467 | L 8105.108 | R 536.000 | Avg L 0.034 | Avg R 0.536
U 250000 | F 250000 | G 16666 | D 30 | EPS 0.444 | L 8434.119 | R 499.000 | Avg L 0.034 | Avg R 0.499
U 260000 | F 260000 | G 17333 | D 31 | EPS 0.422 | L 8767.693 | R 509.000 | Avg L 0.034 | Avg R 0.509
U 270000 | F 270000 | G 18000 | D 33 | EPS 0.400 | L 9104.676 | R 506.000 | Avg L 0.034 | Avg R 0.506
U 280000 | F 280000 | G 18666 | D 39 | EPS 0.378 | L 9447.605 | R 507.000 | Avg L 0.034 | Avg R 0.507
U 290000 | F 290000 | G 19333 | D 42 | EPS 0.356 | L 9787.261 | R 515.000 | Avg L 0.034 | Avg R 0.515
U 300000 | F 300000 | G 20000 | D 43 | EPS 0.333 | L 10138.350 | R 520.000 | Avg L 0.034 | Avg R 0.520
