main.py --seed 7 --gamma 0.90

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.9, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.978 | L 335.860 | R 336.000 | Avg L 0.034 | Avg R 0.505
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.956 | L 646.483 | R 478.000 | Avg L 0.032 | Avg R 0.478
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.933 | L 981.854 | R 499.000 | Avg L 0.033 | Avg R 0.499
U 40000 | F 40000 | G 2666 | D 5 | EPS 0.911 | L 1293.884 | R 489.000 | Avg L 0.032 | Avg R 0.489
U 50000 | F 50000 | G 3333 | D 7 | EPS 0.889 | L 1617.764 | R 487.000 | Avg L 0.032 | Avg R 0.487
U 60000 | F 60000 | G 4000 | D 9 | EPS 0.867 | L 1957.452 | R 509.000 | Avg L 0.033 | Avg R 0.509
U 70000 | F 70000 | G 4666 | D 11 | EPS 0.844 | L 2278.908 | R 501.000 | Avg L 0.033 | Avg R 0.501
U 80000 | F 80000 | G 5333 | D 12 | EPS 0.822 | L 2611.985 | R 502.000 | Avg L 0.033 | Avg R 0.502
U 90000 | F 90000 | G 6000 | D 13 | EPS 0.800 | L 2964.902 | R 526.000 | Avg L 0.033 | Avg R 0.526
U 100000 | F 100000 | G 6666 | D 14 | EPS 0.778 | L 3318.470 | R 536.000 | Avg L 0.033 | Avg R 0.536
U 110000 | F 110000 | G 7333 | D 16 | EPS 0.756 | L 3664.604 | R 524.000 | Avg L 0.033 | Avg R 0.524
U 120000 | F 120000 | G 8000 | D 17 | EPS 0.733 | L 4002.336 | R 527.000 | Avg L 0.033 | Avg R 0.527
U 130000 | F 130000 | G 8666 | D 19 | EPS 0.711 | L 4337.880 | R 508.000 | Avg L 0.033 | Avg R 0.508
U 140000 | F 140000 | G 9333 | D 28 | EPS 0.689 | L 4666.571 | R 512.000 | Avg L 0.033 | Avg R 0.512
U 150000 | F 150000 | G 10000 | D 30 | EPS 0.667 | L 5024.672 | R 528.000 | Avg L 0.033 | Avg R 0.528
U 160000 | F 160000 | G 10666 | D 32 | EPS 0.644 | L 5365.427 | R 527.000 | Avg L 0.034 | Avg R 0.527
U 170000 | F 170000 | G 11333 | D 34 | EPS 0.622 | L 5693.378 | R 507.000 | Avg L 0.033 | Avg R 0.507
U 180000 | F 180000 | G 12000 | D 36 | EPS 0.600 | L 6039.537 | R 512.000 | Avg L 0.034 | Avg R 0.512
U 190000 | F 190000 | G 12666 | D 37 | EPS 0.578 | L 6379.445 | R 526.000 | Avg L 0.034 | Avg R 0.526
U 200000 | F 200000 | G 13333 | D 40 | EPS 0.556 | L 6740.696 | R 533.000 | Avg L 0.034 | Avg R 0.533
U 210000 | F 210000 | G 14000 | D 41 | EPS 0.533 | L 7065.410 | R 513.000 | Avg L 0.034 | Avg R 0.513
U 220000 | F 220000 | G 14666 | D 43 | EPS 0.511 | L 7379.220 | R 490.000 | Avg L 0.034 | Avg R 0.490
U 230000 | F 230000 | G 15333 | D 45 | EPS 0.489 | L 7705.003 | R 501.000 | Avg L 0.034 | Avg R 0.501
U 240000 | F 240000 | G 16000 | D 48 | EPS 0.467 | L 8060.084 | R 540.000 | Avg L 0.034 | Avg R 0.540
U 250000 | F 250000 | G 16666 | D 52 | EPS 0.444 | L 8381.508 | R 501.000 | Avg L 0.034 | Avg R 0.501
U 260000 | F 260000 | G 17333 | D 54 | EPS 0.422 | L 8716.011 | R 514.000 | Avg L 0.034 | Avg R 0.514
U 270000 | F 270000 | G 18000 | D 57 | EPS 0.400 | L 9029.910 | R 491.000 | Avg L 0.033 | Avg R 0.491
U 280000 | F 280000 | G 18666 | D 59 | EPS 0.378 | L 9345.038 | R 486.000 | Avg L 0.033 | Avg R 0.486
U 290000 | F 290000 | G 19333 | D 61 | EPS 0.356 | L 9663.391 | R 491.000 | Avg L 0.033 | Avg R 0.491
