main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=450000, eps_start=1.0, frames=1500000, games=500, gamma=0.99, log_interval=10000, lr=1e-05, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.978 | L 335.998 | R 336.000 | Avg L 0.034 | Avg R 0.505
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.956 | L 646.996 | R 478.000 | Avg L 0.032 | Avg R 0.478
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.933 | L 982.992 | R 499.000 | Avg L 0.033 | Avg R 0.499
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.911 | L 1295.974 | R 489.000 | Avg L 0.032 | Avg R 0.489
U 50000 | F 50000 | G 3333 | D 6 | EPS 0.889 | L 1622.965 | R 489.000 | Avg L 0.032 | Avg R 0.489
U 60000 | F 60000 | G 4000 | D 7 | EPS 0.867 | L 1961.961 | R 508.000 | Avg L 0.033 | Avg R 0.508
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.844 | L 2286.953 | R 502.000 | Avg L 0.033 | Avg R 0.502
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.822 | L 2621.934 | R 503.000 | Avg L 0.033 | Avg R 0.503
U 90000 | F 90000 | G 6000 | D 10 | EPS 0.800 | L 2970.917 | R 520.000 | Avg L 0.033 | Avg R 0.520
U 100000 | F 100000 | G 6666 | D 12 | EPS 0.778 | L 3323.899 | R 524.000 | Avg L 0.033 | Avg R 0.524
U 110000 | F 110000 | G 7333 | D 13 | EPS 0.756 | L 3667.873 | R 515.000 | Avg L 0.033 | Avg R 0.515
U 120000 | F 120000 | G 8000 | D 14 | EPS 0.733 | L 4009.825 | R 527.000 | Avg L 0.033 | Avg R 0.527
U 130000 | F 130000 | G 8666 | D 15 | EPS 0.711 | L 4337.754 | R 495.000 | Avg L 0.033 | Avg R 0.495
U 140000 | F 140000 | G 9333 | D 16 | EPS 0.689 | L 4673.719 | R 514.000 | Avg L 0.033 | Avg R 0.514
U 150000 | F 150000 | G 10000 | D 18 | EPS 0.667 | L 5041.679 | R 539.000 | Avg L 0.034 | Avg R 0.539
U 160000 | F 160000 | G 10666 | D 19 | EPS 0.644 | L 5395.650 | R 538.000 | Avg L 0.034 | Avg R 0.538
U 170000 | F 170000 | G 11333 | D 20 | EPS 0.622 | L 5714.645 | R 498.000 | Avg L 0.034 | Avg R 0.498
U 180000 | F 180000 | G 12000 | D 21 | EPS 0.600 | L 6060.584 | R 503.000 | Avg L 0.034 | Avg R 0.503
U 190000 | F 190000 | G 12666 | D 22 | EPS 0.578 | L 6402.491 | R 519.000 | Avg L 0.034 | Avg R 0.519
U 200000 | F 200000 | G 13333 | D 24 | EPS 0.556 | L 6748.397 | R 515.000 | Avg L 0.034 | Avg R 0.515
U 210000 | F 210000 | G 14000 | D 25 | EPS 0.533 | L 7070.389 | R 492.000 | Avg L 0.034 | Avg R 0.492
U 220000 | F 220000 | G 14666 | D 26 | EPS 0.511 | L 7378.281 | R 475.000 | Avg L 0.034 | Avg R 0.475
U 230000 | F 230000 | G 15333 | D 27 | EPS 0.489 | L 7697.262 | R 483.000 | Avg L 0.033 | Avg R 0.483
U 240000 | F 240000 | G 16000 | D 29 | EPS 0.467 | L 8040.121 | R 507.000 | Avg L 0.034 | Avg R 0.507
U 250000 | F 250000 | G 16666 | D 30 | EPS 0.444 | L 8357.158 | R 473.000 | Avg L 0.033 | Avg R 0.473
U 260000 | F 260000 | G 17333 | D 31 | EPS 0.422 | L 8681.046 | R 493.000 | Avg L 0.033 | Avg R 0.493
U 270000 | F 270000 | G 18000 | D 32 | EPS 0.400 | L 8995.873 | R 474.000 | Avg L 0.033 | Avg R 0.474
U 280000 | F 280000 | G 18666 | D 33 | EPS 0.378 | L 9312.826 | R 472.000 | Avg L 0.033 | Avg R 0.472
U 290000 | F 290000 | G 19333 | D 35 | EPS 0.356 | L 9639.770 | R 491.000 | Avg L 0.033 | Avg R 0.491
U 300000 | F 300000 | G 20000 | D 36 | EPS 0.333 | L 9980.539 | R 504.000 | Avg L 0.033 | Avg R 0.504
U 310000 | F 310000 | G 20666 | D 37 | EPS 0.311 | L 10295.473 | R 485.000 | Avg L 0.033 | Avg R 0.485
U 320000 | F 320000 | G 21333 | D 38 | EPS 0.289 | L 10617.343 | R 482.000 | Avg L 0.033 | Avg R 0.482
U 330000 | F 330000 | G 22000 | D 40 | EPS 0.267 | L 10926.253 | R 466.000 | Avg L 0.033 | Avg R 0.466
U 340000 | F 340000 | G 22666 | D 41 | EPS 0.244 | L 11237.992 | R 468.000 | Avg L 0.033 | Avg R 0.468
U 350000 | F 350000 | G 23333 | D 42 | EPS 0.222 | L 11547.862 | R 466.000 | Avg L 0.033 | Avg R 0.466
U 360000 | F 360000 | G 24000 | D 44 | EPS 0.200 | L 11864.712 | R 470.000 | Avg L 0.033 | Avg R 0.470
U 370000 | F 370000 | G 24666 | D 45 | EPS 0.178 | L 12165.476 | R 457.000 | Avg L 0.033 | Avg R 0.457
U 380000 | F 380000 | G 25333 | D 46 | EPS 0.156 | L 12464.329 | R 453.000 | Avg L 0.033 | Avg R 0.453
U 390000 | F 390000 | G 26000 | D 47 | EPS 0.133 | L 12761.194 | R 450.000 | Avg L 0.033 | Avg R 0.450
U 400000 | F 400000 | G 26666 | D 49 | EPS 0.111 | L 13036.022 | R 424.000 | Avg L 0.033 | Avg R 0.424
U 410000 | F 410000 | G 27333 | D 50 | EPS 0.089 | L 13272.712 | R 364.000 | Avg L 0.032 | Avg R 0.364
U 420000 | F 420000 | G 28000 | D 51 | EPS 0.067 | L 13503.275 | R 355.000 | Avg L 0.032 | Avg R 0.355
U 430000 | F 430000 | G 28666 | D 53 | EPS 0.044 | L 13699.128 | R 313.000 | Avg L 0.032 | Avg R 0.313
U 440000 | F 440000 | G 29333 | D 54 | EPS 0.022 | L 13861.076 | R 254.000 | Avg L 0.032 | Avg R 0.254
U 450000 | F 450000 | G 30000 | D 55 | EPS 0.001 | L 13955.857 | R 172.000 | Avg L 0.031 | Avg R 0.172
U 460000 | F 460000 | G 30666 | D 56 | EPS 0.001 | L 14056.542 | R 151.000 | Avg L 0.031 | Avg R 0.151
U 470000 | F 470000 | G 31333 | D 58 | EPS 0.001 | L 14162.259 | R 157.000 | Avg L 0.030 | Avg R 0.157
U 480000 | F 480000 | G 32000 | D 59 | EPS 0.001 | L 14275.973 | R 174.000 | Avg L 0.030 | Avg R 0.174
U 490000 | F 490000 | G 32666 | D 60 | EPS 0.001 | L 14389.614 | R 166.000 | Avg L 0.029 | Avg R 0.166
U 500000 | F 500000 | G 33333 | D 62 | EPS 0.001 | L 14477.278 | R 146.000 | Avg L 0.029 | Avg R 0.146
U 510000 | F 510000 | G 34000 | D 63 | EPS 0.001 | L 14579.960 | R 136.000 | Avg L 0.029 | Avg R 0.136
