main.py --seed 7 --gamma 1

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=1500000, eps_start=1.0, frames=3000000, games=500, gamma=1.0, log_interval=10000, lr=1e-06, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 666 | D 1 | EPS 0.993 | L 329.000 | R 329.000 | Avg L 0.494 | Avg R 0.494
U 20000 | F 20000 | G 1333 | D 2 | EPS 0.987 | L 508.000 | R 508.000 | Avg L 0.508 | Avg R 0.508
U 30000 | F 30000 | G 2000 | D 3 | EPS 0.980 | L 519.000 | R 519.000 | Avg L 0.519 | Avg R 0.519
U 40000 | F 40000 | G 2666 | D 4 | EPS 0.973 | L 452.000 | R 452.000 | Avg L 0.452 | Avg R 0.452
U 50000 | F 50000 | G 3333 | D 6 | EPS 0.967 | L 442.000 | R 442.000 | Avg L 0.442 | Avg R 0.442
U 60000 | F 60000 | G 4000 | D 7 | EPS 0.960 | L 484.000 | R 484.000 | Avg L 0.484 | Avg R 0.484
U 70000 | F 70000 | G 4666 | D 8 | EPS 0.953 | L 454.000 | R 454.000 | Avg L 0.454 | Avg R 0.454
U 80000 | F 80000 | G 5333 | D 9 | EPS 0.947 | L 464.000 | R 464.000 | Avg L 0.464 | Avg R 0.464
U 90000 | F 90000 | G 6000 | D 10 | EPS 0.940 | L 483.000 | R 483.000 | Avg L 0.483 | Avg R 0.483
U 100000 | F 100000 | G 6666 | D 12 | EPS 0.933 | L 454.000 | R 454.000 | Avg L 0.454 | Avg R 0.454
U 110000 | F 110000 | G 7333 | D 13 | EPS 0.927 | L 472.000 | R 472.000 | Avg L 0.472 | Avg R 0.472
U 120000 | F 120000 | G 8000 | D 14 | EPS 0.920 | L 468.000 | R 468.000 | Avg L 0.468 | Avg R 0.468
U 130000 | F 130000 | G 8666 | D 15 | EPS 0.913 | L 464.000 | R 464.000 | Avg L 0.464 | Avg R 0.464
U 140000 | F 140000 | G 9333 | D 16 | EPS 0.907 | L 428.000 | R 428.000 | Avg L 0.428 | Avg R 0.428
U 150000 | F 150000 | G 10000 | D 18 | EPS 0.900 | L 446.001 | R 446.000 | Avg L 0.446 | Avg R 0.446
U 160000 | F 160000 | G 10666 | D 19 | EPS 0.893 | L 470.000 | R 470.000 | Avg L 0.470 | Avg R 0.470
U 170000 | F 170000 | G 11333 | D 20 | EPS 0.887 | L 465.000 | R 465.000 | Avg L 0.465 | Avg R 0.465
U 180000 | F 180000 | G 12000 | D 21 | EPS 0.880 | L 452.001 | R 452.000 | Avg L 0.452 | Avg R 0.452
U 190000 | F 190000 | G 12666 | D 22 | EPS 0.873 | L 442.000 | R 442.000 | Avg L 0.442 | Avg R 0.442
U 200000 | F 200000 | G 13333 | D 24 | EPS 0.867 | L 456.000 | R 456.000 | Avg L 0.456 | Avg R 0.456
U 210000 | F 210000 | G 14000 | D 25 | EPS 0.860 | L 439.000 | R 439.000 | Avg L 0.439 | Avg R 0.439
U 220000 | F 220000 | G 14666 | D 26 | EPS 0.853 | L 437.000 | R 437.000 | Avg L 0.437 | Avg R 0.437
U 230000 | F 230000 | G 15333 | D 27 | EPS 0.847 | L 447.000 | R 447.000 | Avg L 0.447 | Avg R 0.447
U 240000 | F 240000 | G 16000 | D 29 | EPS 0.840 | L 459.001 | R 459.000 | Avg L 0.459 | Avg R 0.459
U 250000 | F 250000 | G 16666 | D 30 | EPS 0.833 | L 435.001 | R 435.000 | Avg L 0.435 | Avg R 0.435
U 260000 | F 260000 | G 17333 | D 31 | EPS 0.827 | L 444.000 | R 444.000 | Avg L 0.444 | Avg R 0.444
U 270000 | F 270000 | G 18000 | D 32 | EPS 0.820 | L 421.000 | R 421.000 | Avg L 0.421 | Avg R 0.421
U 280000 | F 280000 | G 18666 | D 33 | EPS 0.813 | L 442.000 | R 442.000 | Avg L 0.442 | Avg R 0.442
U 290000 | F 290000 | G 19333 | D 35 | EPS 0.807 | L 429.999 | R 430.000 | Avg L 0.430 | Avg R 0.430
U 300000 | F 300000 | G 20000 | D 36 | EPS 0.800 | L 423.000 | R 423.000 | Avg L 0.423 | Avg R 0.423
U 310000 | F 310000 | G 20666 | D 37 | EPS 0.793 | L 401.001 | R 401.000 | Avg L 0.401 | Avg R 0.401
U 320000 | F 320000 | G 21333 | D 38 | EPS 0.787 | L 416.000 | R 416.000 | Avg L 0.416 | Avg R 0.416
U 330000 | F 330000 | G 22000 | D 40 | EPS 0.780 | L 432.001 | R 432.000 | Avg L 0.432 | Avg R 0.432
U 340000 | F 340000 | G 22666 | D 41 | EPS 0.773 | L 414.000 | R 414.000 | Avg L 0.414 | Avg R 0.414
U 350000 | F 350000 | G 23333 | D 42 | EPS 0.767 | L 399.000 | R 399.000 | Avg L 0.399 | Avg R 0.399
U 360000 | F 360000 | G 24000 | D 43 | EPS 0.760 | L 419.001 | R 419.000 | Avg L 0.419 | Avg R 0.419
U 370000 | F 370000 | G 24666 | D 44 | EPS 0.753 | L 424.000 | R 424.000 | Avg L 0.424 | Avg R 0.424
U 380000 | F 380000 | G 25333 | D 46 | EPS 0.747 | L 401.001 | R 401.000 | Avg L 0.401 | Avg R 0.401
U 390000 | F 390000 | G 26000 | D 47 | EPS 0.740 | L 405.998 | R 406.000 | Avg L 0.406 | Avg R 0.406
U 400000 | F 400000 | G 26666 | D 48 | EPS 0.733 | L 401.998 | R 402.000 | Avg L 0.402 | Avg R 0.402
U 410000 | F 410000 | G 27333 | D 49 | EPS 0.727 | L 414.999 | R 415.000 | Avg L 0.415 | Avg R 0.415
U 420000 | F 420000 | G 28000 | D 50 | EPS 0.720 | L 411.000 | R 411.000 | Avg L 0.411 | Avg R 0.411
U 430000 | F 430000 | G 28666 | D 52 | EPS 0.713 | L 394.002 | R 394.000 | Avg L 0.394 | Avg R 0.394
U 440000 | F 440000 | G 29333 | D 54 | EPS 0.707 | L 393.001 | R 393.000 | Avg L 0.393 | Avg R 0.393
U 450000 | F 450000 | G 30000 | D 55 | EPS 0.700 | L 392.001 | R 392.000 | Avg L 0.392 | Avg R 0.392
U 460000 | F 460000 | G 30666 | D 56 | EPS 0.693 | L 400.001 | R 400.000 | Avg L 0.400 | Avg R 0.400
U 470000 | F 470000 | G 31333 | D 58 | EPS 0.687 | L 400.000 | R 400.000 | Avg L 0.400 | Avg R 0.400
U 480000 | F 480000 | G 32000 | D 59 | EPS 0.680 | L 408.000 | R 408.000 | Avg L 0.408 | Avg R 0.408
U 490000 | F 490000 | G 32666 | D 60 | EPS 0.673 | L 404.999 | R 405.000 | Avg L 0.405 | Avg R 0.405
U 500000 | F 500000 | G 33333 | D 61 | EPS 0.667 | L 399.001 | R 399.000 | Avg L 0.399 | Avg R 0.399
U 510000 | F 510000 | G 34000 | D 63 | EPS 0.660 | L 396.999 | R 397.000 | Avg L 0.397 | Avg R 0.397
U 520000 | F 520000 | G 34666 | D 64 | EPS 0.653 | L 399.000 | R 399.000 | Avg L 0.399 | Avg R 0.399
U 530000 | F 530000 | G 35333 | D 65 | EPS 0.647 | L 389.000 | R 389.000 | Avg L 0.389 | Avg R 0.389
U 540000 | F 540000 | G 36000 | D 67 | EPS 0.640 | L 389.999 | R 390.000 | Avg L 0.390 | Avg R 0.390
U 550000 | F 550000 | G 36666 | D 68 | EPS 0.633 | L 397.000 | R 397.000 | Avg L 0.397 | Avg R 0.397
U 560000 | F 560000 | G 37333 | D 69 | EPS 0.627 | L 370.001 | R 370.000 | Avg L 0.370 | Avg R 0.370
U 570000 | F 570000 | G 38000 | D 70 | EPS 0.620 | L 383.999 | R 384.000 | Avg L 0.384 | Avg R 0.384
U 580000 | F 580000 | G 38666 | D 72 | EPS 0.613 | L 384.001 | R 384.000 | Avg L 0.384 | Avg R 0.384
U 590000 | F 590000 | G 39333 | D 73 | EPS 0.607 | L 356.999 | R 357.000 | Avg L 0.357 | Avg R 0.357
U 600000 | F 600000 | G 40000 | D 74 | EPS 0.600 | L 362.001 | R 362.000 | Avg L 0.362 | Avg R 0.362
U 610000 | F 610000 | G 40666 | D 76 | EPS 0.593 | L 368.998 | R 369.000 | Avg L 0.369 | Avg R 0.369
U 620000 | F 620000 | G 41333 | D 77 | EPS 0.587 | L 362.999 | R 363.000 | Avg L 0.363 | Avg R 0.363
U 630000 | F 630000 | G 42000 | D 78 | EPS 0.580 | L 359.999 | R 360.000 | Avg L 0.360 | Avg R 0.360
U 640000 | F 640000 | G 42666 | D 81 | EPS 0.573 | L 369.004 | R 369.000 | Avg L 0.369 | Avg R 0.369
U 650000 | F 650000 | G 43333 | D 82 | EPS 0.567 | L 375.002 | R 375.000 | Avg L 0.375 | Avg R 0.375
U 660000 | F 660000 | G 44000 | D 84 | EPS 0.560 | L 363.001 | R 363.000 | Avg L 0.363 | Avg R 0.363
U 670000 | F 670000 | G 44666 | D 85 | EPS 0.553 | L 360.001 | R 360.000 | Avg L 0.360 | Avg R 0.360
U 680000 | F 680000 | G 45333 | D 86 | EPS 0.547 | L 375.002 | R 375.000 | Avg L 0.375 | Avg R 0.375
U 690000 | F 690000 | G 46000 | D 88 | EPS 0.540 | L 366.999 | R 367.000 | Avg L 0.367 | Avg R 0.367
U 700000 | F 700000 | G 46666 | D 89 | EPS 0.533 | L 383.999 | R 384.000 | Avg L 0.384 | Avg R 0.384
U 710000 | F 710000 | G 47333 | D 90 | EPS 0.527 | L 377.001 | R 377.000 | Avg L 0.377 | Avg R 0.377
U 720000 | F 720000 | G 48000 | D 91 | EPS 0.520 | L 363.002 | R 363.000 | Avg L 0.363 | Avg R 0.363
U 730000 | F 730000 | G 48666 | D 92 | EPS 0.513 | L 361.003 | R 361.000 | Avg L 0.361 | Avg R 0.361
U 740000 | F 740000 | G 49333 | D 94 | EPS 0.507 | L 385.001 | R 385.000 | Avg L 0.385 | Avg R 0.385
U 750000 | F 750000 | G 50000 | D 95 | EPS 0.500 | L 376.995 | R 377.000 | Avg L 0.377 | Avg R 0.377
U 760000 | F 760000 | G 50666 | D 96 | EPS 0.493 | L 360.000 | R 360.000 | Avg L 0.360 | Avg R 0.360
U 770000 | F 770000 | G 51333 | D 97 | EPS 0.487 | L 351.999 | R 352.000 | Avg L 0.352 | Avg R 0.352
U 780000 | F 780000 | G 52000 | D 98 | EPS 0.480 | L 367.999 | R 368.000 | Avg L 0.368 | Avg R 0.368
U 790000 | F 790000 | G 52666 | D 100 | EPS 0.473 | L 386.998 | R 387.000 | Avg L 0.387 | Avg R 0.387
U 800000 | F 800000 | G 53333 | D 101 | EPS 0.467 | L 350.995 | R 351.000 | Avg L 0.351 | Avg R 0.351
U 810000 | F 810000 | G 54000 | D 102 | EPS 0.460 | L 363.000 | R 363.000 | Avg L 0.363 | Avg R 0.363
U 820000 | F 820000 | G 54666 | D 103 | EPS 0.453 | L 368.002 | R 368.000 | Avg L 0.368 | Avg R 0.368
U 830000 | F 830000 | G 55333 | D 105 | EPS 0.447 | L 343.001 | R 343.000 | Avg L 0.343 | Avg R 0.343
U 840000 | F 840000 | G 56000 | D 106 | EPS 0.440 | L 336.001 | R 336.000 | Avg L 0.336 | Avg R 0.336
U 850000 | F 850000 | G 56666 | D 107 | EPS 0.433 | L 354.000 | R 354.000 | Avg L 0.354 | Avg R 0.354
U 860000 | F 860000 | G 57333 | D 108 | EPS 0.427 | L 359.998 | R 360.000 | Avg L 0.360 | Avg R 0.360
U 870000 | F 870000 | G 58000 | D 109 | EPS 0.420 | L 368.000 | R 368.000 | Avg L 0.368 | Avg R 0.368
U 880000 | F 880000 | G 58666 | D 111 | EPS 0.413 | L 356.995 | R 357.000 | Avg L 0.357 | Avg R 0.357
U 890000 | F 890000 | G 59333 | D 112 | EPS 0.407 | L 321.995 | R 322.000 | Avg L 0.322 | Avg R 0.322
U 900000 | F 900000 | G 60000 | D 113 | EPS 0.400 | L 336.998 | R 337.000 | Avg L 0.337 | Avg R 0.337
U 910000 | F 910000 | G 60666 | D 114 | EPS 0.393 | L 351.999 | R 352.000 | Avg L 0.352 | Avg R 0.352
U 920000 | F 920000 | G 61333 | D 116 | EPS 0.387 | L 322.002 | R 322.000 | Avg L 0.322 | Avg R 0.322
U 930000 | F 930000 | G 62000 | D 117 | EPS 0.380 | L 304.001 | R 304.000 | Avg L 0.304 | Avg R 0.304
U 940000 | F 940000 | G 62666 | D 118 | EPS 0.373 | L 318.998 | R 319.000 | Avg L 0.319 | Avg R 0.319
U 950000 | F 950000 | G 63333 | D 119 | EPS 0.367 | L 350.998 | R 351.000 | Avg L 0.351 | Avg R 0.351
U 960000 | F 960000 | G 64000 | D 120 | EPS 0.360 | L 369.998 | R 370.000 | Avg L 0.370 | Avg R 0.370
