main.py --seed 7 --lr 0.0001

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=3750000, eps_start=1.0, frames=15000000, games=500, gamma=0.99, log_interval=10000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 10000 | F 10000 | G 3333 | D 1 | EPS 0.997 | L 449.026 | R 449.000 | Avg L 0.449 | Avg R 0.449
U 20000 | F 20000 | G 6666 | D 2 | EPS 0.995 | L 455.850 | R 456.000 | Avg L 0.456 | Avg R 0.456
U 30000 | F 30000 | G 10000 | D 3 | EPS 0.992 | L 441.911 | R 442.000 | Avg L 0.442 | Avg R 0.442
U 40000 | F 40000 | G 13333 | D 4 | EPS 0.989 | L 442.513 | R 442.000 | Avg L 0.443 | Avg R 0.442
U 50000 | F 50000 | G 16666 | D 6 | EPS 0.987 | L 458.871 | R 459.000 | Avg L 0.459 | Avg R 0.459
U 60000 | F 60000 | G 20000 | D 7 | EPS 0.984 | L 450.810 | R 451.000 | Avg L 0.451 | Avg R 0.451
U 70000 | F 70000 | G 23333 | D 8 | EPS 0.981 | L 415.798 | R 416.000 | Avg L 0.416 | Avg R 0.416
U 80000 | F 80000 | G 26666 | D 10 | EPS 0.979 | L 481.123 | R 483.000 | Avg L 0.481 | Avg R 0.483
U 90000 | F 90000 | G 30000 | D 11 | EPS 0.976 | L 443.368 | R 444.000 | Avg L 0.443 | Avg R 0.444
U 100000 | F 100000 | G 33333 | D 12 | EPS 0.973 | L 451.648 | R 452.000 | Avg L 0.452 | Avg R 0.452
U 110000 | F 110000 | G 36666 | D 13 | EPS 0.971 | L 458.749 | R 461.000 | Avg L 0.459 | Avg R 0.461
U 120000 | F 120000 | G 40000 | D 14 | EPS 0.968 | L 424.174 | R 425.000 | Avg L 0.424 | Avg R 0.425
U 130000 | F 130000 | G 43333 | D 16 | EPS 0.965 | L 447.941 | R 448.000 | Avg L 0.448 | Avg R 0.448
U 140000 | F 140000 | G 46666 | D 17 | EPS 0.963 | L 450.563 | R 452.000 | Avg L 0.451 | Avg R 0.452
U 150000 | F 150000 | G 50000 | D 18 | EPS 0.960 | L 428.530 | R 431.000 | Avg L 0.429 | Avg R 0.431
U 160000 | F 160000 | G 53333 | D 19 | EPS 0.957 | L 437.569 | R 438.000 | Avg L 0.438 | Avg R 0.438
U 170000 | F 170000 | G 56666 | D 21 | EPS 0.955 | L 458.819 | R 460.000 | Avg L 0.459 | Avg R 0.460
U 180000 | F 180000 | G 60000 | D 22 | EPS 0.952 | L 452.225 | R 453.000 | Avg L 0.452 | Avg R 0.453
U 190000 | F 190000 | G 63333 | D 23 | EPS 0.949 | L 452.980 | R 453.000 | Avg L 0.453 | Avg R 0.453
U 200000 | F 200000 | G 66666 | D 24 | EPS 0.947 | L 450.219 | R 450.000 | Avg L 0.450 | Avg R 0.450
U 210000 | F 210000 | G 70000 | D 25 | EPS 0.944 | L 445.213 | R 446.000 | Avg L 0.445 | Avg R 0.446
