main.py --seed 7 --lr 1.0

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=75000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=20000, lr=1.0, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 20000 | F 20000 | G 6666 | D 2 | EPS 0.733 | L -103.045 | R 457.000 | Avg L -0.103 | Avg R 0.457
U 40000 | F 40000 | G 13333 | D 4 | EPS 0.467 | L -157.850 | R 394.000 | Avg L -0.158 | Avg R 0.394
U 60000 | F 60000 | G 20000 | D 7 | EPS 0.200 | L -82.669 | R 319.000 | Avg L -0.083 | Avg R 0.319
U 80000 | F 80000 | G 26666 | D 9 | EPS 0.010 | L 21.423 | R 153.000 | Avg L 0.021 | Avg R 0.153
U 100000 | F 100000 | G 33333 | D 11 | EPS 0.010 | L 26.675 | R 124.000 | Avg L 0.027 | Avg R 0.124
U 120000 | F 120000 | G 40000 | D 14 | EPS 0.010 | L -73.729 | R 95.000 | Avg L -0.074 | Avg R 0.095
U 140000 | F 140000 | G 46666 | D 16 | EPS 0.010 | L -32.959 | R 50.000 | Avg L -0.033 | Avg R 0.050
U 160000 | F 160000 | G 53333 | D 18 | EPS 0.010 | L -21.961 | R 130.000 | Avg L -0.022 | Avg R 0.130
U 180000 | F 180000 | G 60000 | D 21 | EPS 0.010 | L -33.406 | R 62.000 | Avg L -0.033 | Avg R 0.062
U 200000 | F 200000 | G 66666 | D 23 | EPS 0.010 | L -43.743 | R 96.000 | Avg L -0.044 | Avg R 0.096
U 220000 | F 220000 | G 73333 | D 25 | EPS 0.010 | L 19.920 | R 116.000 | Avg L 0.020 | Avg R 0.116
U 240000 | F 240000 | G 80000 | D 29 | EPS 0.010 | L 75.042 | R 161.000 | Avg L 0.075 | Avg R 0.161
U 260000 | F 260000 | G 86666 | D 31 | EPS 0.010 | L -51.467 | R 54.000 | Avg L -0.051 | Avg R 0.054
U 280000 | F 280000 | G 93333 | D 34 | EPS 0.010 | L -20.933 | R 67.000 | Avg L -0.021 | Avg R 0.067
U 300000 | F 300000 | G 100000 | D 36 | EPS 0.010 | L -46.783 | R 104.000 | Avg L -0.047 | Avg R 0.104
U 320000 | F 320000 | G 106666 | D 38 | EPS 0.010 | L 10.104 | R 51.000 | Avg L 0.010 | Avg R 0.051
U 340000 | F 340000 | G 113333 | D 41 | EPS 0.010 | L -11.022 | R 194.000 | Avg L -0.011 | Avg R 0.194
U 360000 | F 360000 | G 120000 | D 43 | EPS 0.010 | L 35.123 | R 157.000 | Avg L 0.035 | Avg R 0.157
U 380000 | F 380000 | G 126666 | D 45 | EPS 0.010 | L 12.507 | R 91.000 | Avg L 0.013 | Avg R 0.091
U 400000 | F 400000 | G 133333 | D 48 | EPS 0.010 | L -50.780 | R 105.000 | Avg L -0.051 | Avg R 0.105
U 420000 | F 420000 | G 140000 | D 50 | EPS 0.010 | L 52.130 | R 154.000 | Avg L 0.052 | Avg R 0.154
U 440000 | F 440000 | G 146666 | D 53 | EPS 0.010 | L -57.863 | R 23.000 | Avg L -0.058 | Avg R 0.023
U 460000 | F 460000 | G 153333 | D 55 | EPS 0.010 | L -37.355 | R 64.000 | Avg L -0.037 | Avg R 0.064
U 480000 | F 480000 | G 160000 | D 57 | EPS 0.010 | L 3.861 | R 155.000 | Avg L 0.004 | Avg R 0.155
U 500000 | F 500000 | G 166666 | D 60 | EPS 0.010 | L -8.381 | R 199.000 | Avg L -0.008 | Avg R 0.199
U 520000 | F 520000 | G 173333 | D 62 | EPS 0.010 | L -19.311 | R 118.000 | Avg L -0.019 | Avg R 0.118
U 540000 | F 540000 | G 180000 | D 64 | EPS 0.010 | L -7.182 | R 90.000 | Avg L -0.007 | Avg R 0.090
U 560000 | F 560000 | G 186666 | D 67 | EPS 0.010 | L 19.396 | R 142.000 | Avg L 0.019 | Avg R 0.142
U 580000 | F 580000 | G 193333 | D 69 | EPS 0.010 | L -22.359 | R 193.000 | Avg L -0.022 | Avg R 0.193
U 600000 | F 600000 | G 200000 | D 71 | EPS 0.010 | L 90.843 | R 209.000 | Avg L 0.091 | Avg R 0.209
U 620000 | F 620000 | G 206666 | D 74 | EPS 0.010 | L -23.924 | R 147.000 | Avg L -0.024 | Avg R 0.147
U 640000 | F 640000 | G 213333 | D 76 | EPS 0.010 | L 42.963 | R 304.000 | Avg L 0.043 | Avg R 0.304
U 660000 | F 660000 | G 220000 | D 78 | EPS 0.010 | L 16.372 | R 250.000 | Avg L 0.016 | Avg R 0.250
U 680000 | F 680000 | G 226666 | D 81 | EPS 0.010 | L -18.006 | R 185.000 | Avg L -0.018 | Avg R 0.185
U 700000 | F 700000 | G 233333 | D 83 | EPS 0.010 | L -9.675 | R 175.000 | Avg L -0.010 | Avg R 0.175
U 720000 | F 720000 | G 240000 | D 85 | EPS 0.010 | L 59.759 | R 259.000 | Avg L 0.060 | Avg R 0.259
U 740000 | F 740000 | G 246666 | D 88 | EPS 0.010 | L -59.149 | R 81.000 | Avg L -0.059 | Avg R 0.081
U 760000 | F 760000 | G 253333 | D 90 | EPS 0.010 | L 46.686 | R 199.000 | Avg L 0.047 | Avg R 0.199
U 780000 | F 780000 | G 260000 | D 93 | EPS 0.010 | L -45.804 | R 63.000 | Avg L -0.046 | Avg R 0.063
U 800000 | F 800000 | G 266666 | D 96 | EPS 0.010 | L -19.822 | R 36.000 | Avg L -0.020 | Avg R 0.036
