main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.01, eps_frames=75000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=20000, lr=0.01, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 20000 | F 20000 | G 6666 | D 2 | EPS 0.733 | L 0.000 | R 439.000 | Avg L 0.000 | Avg R 0.439
U 40000 | F 40000 | G 13333 | D 4 | EPS 0.467 | L 0.000 | R 330.000 | Avg L 0.000 | Avg R 0.330
U 60000 | F 60000 | G 20000 | D 6 | EPS 0.200 | L 0.000 | R 185.000 | Avg L 0.000 | Avg R 0.185
U 80000 | F 80000 | G 26666 | D 8 | EPS 0.010 | L 0.000 | R 9.000 | Avg L 0.000 | Avg R 0.009
U 100000 | F 100000 | G 33333 | D 11 | EPS 0.010 | L 0.000 | R 8.000 | Avg L 0.000 | Avg R 0.008
U 120000 | F 120000 | G 40000 | D 13 | EPS 0.010 | L 0.000 | R 14.000 | Avg L 0.000 | Avg R 0.014
U 140000 | F 140000 | G 46666 | D 15 | EPS 0.010 | L 0.000 | R 9.000 | Avg L 0.000 | Avg R 0.009
U 160000 | F 160000 | G 53333 | D 17 | EPS 0.010 | L 0.000 | R 9.000 | Avg L 0.000 | Avg R 0.009
U 180000 | F 180000 | G 60000 | D 20 | EPS 0.010 | L 0.000 | R 11.000 | Avg L 0.000 | Avg R 0.011
U 200000 | F 200000 | G 66666 | D 22 | EPS 0.010 | L 0.000 | R 10.000 | Avg L 0.000 | Avg R 0.010
U 220000 | F 220000 | G 73333 | D 24 | EPS 0.010 | L 0.000 | R 9.000 | Avg L 0.000 | Avg R 0.009
U 240000 | F 240000 | G 80000 | D 26 | EPS 0.010 | L 0.000 | R 6.000 | Avg L 0.000 | Avg R 0.006
U 260000 | F 260000 | G 86666 | D 29 | EPS 0.010 | L 0.000 | R 11.000 | Avg L 0.000 | Avg R 0.011
