main.py --seed 7 --lr 0.0001 --eps_final 0.001

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=75000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=20000, lr=0.0001, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 20000 | F 20000 | G 6666 | D 2 | EPS 0.733 | L 425.322 | R 429.000 | Avg L 0.425 | Avg R 0.429
U 40000 | F 40000 | G 13333 | D 5 | EPS 0.467 | L 407.148 | R 412.000 | Avg L 0.407 | Avg R 0.412
U 60000 | F 60000 | G 20000 | D 7 | EPS 0.200 | L 310.052 | R 316.000 | Avg L 0.310 | Avg R 0.316
U 80000 | F 80000 | G 26666 | D 10 | EPS 0.001 | L 416.476 | R 423.000 | Avg L 0.416 | Avg R 0.423
U 100000 | F 100000 | G 33333 | D 12 | EPS 0.001 | L 382.165 | R 391.000 | Avg L 0.382 | Avg R 0.391
U 120000 | F 120000 | G 40000 | D 15 | EPS 0.001 | L 358.521 | R 372.000 | Avg L 0.359 | Avg R 0.372
U 140000 | F 140000 | G 46666 | D 17 | EPS 0.001 | L 346.917 | R 367.000 | Avg L 0.347 | Avg R 0.367
U 160000 | F 160000 | G 53333 | D 20 | EPS 0.001 | L 352.440 | R 380.000 | Avg L 0.352 | Avg R 0.380
U 180000 | F 180000 | G 60000 | D 23 | EPS 0.001 | L 327.004 | R 365.000 | Avg L 0.327 | Avg R 0.365
U 200000 | F 200000 | G 66666 | D 25 | EPS 0.001 | L 315.458 | R 364.000 | Avg L 0.315 | Avg R 0.364
U 220000 | F 220000 | G 73333 | D 28 | EPS 0.001 | L 305.759 | R 366.000 | Avg L 0.306 | Avg R 0.366
U 240000 | F 240000 | G 80000 | D 30 | EPS 0.001 | L 280.373 | R 353.000 | Avg L 0.280 | Avg R 0.353
U 260000 | F 260000 | G 86666 | D 33 | EPS 0.001 | L 261.372 | R 346.000 | Avg L 0.261 | Avg R 0.346
U 280000 | F 280000 | G 93333 | D 35 | EPS 0.001 | L 270.299 | R 367.000 | Avg L 0.270 | Avg R 0.367
U 300000 | F 300000 | G 100000 | D 38 | EPS 0.001 | L 243.650 | R 353.000 | Avg L 0.244 | Avg R 0.353
U 320000 | F 320000 | G 106666 | D 40 | EPS 0.001 | L 209.196 | R 331.000 | Avg L 0.209 | Avg R 0.331
U 340000 | F 340000 | G 113333 | D 43 | EPS 0.001 | L 189.043 | R 321.000 | Avg L 0.189 | Avg R 0.321
U 360000 | F 360000 | G 120000 | D 45 | EPS 0.001 | L 190.455 | R 333.000 | Avg L 0.190 | Avg R 0.333
U 380000 | F 380000 | G 126666 | D 48 | EPS 0.001 | L 185.337 | R 338.000 | Avg L 0.185 | Avg R 0.338
