main.py --seed 7 --lr 1 --eps_final 0.001

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=75000, eps_start=1.0, frames=3000000, games=500, gamma=0.99, log_interval=20000, lr=1.0, model=None, save_interval=10000, seed=7)

Environments loaded

Training status loaded

U 20000 | F 20000 | G 6666 | D 2 | EPS 0.733 | L -0.020 | R 456.000 | Avg L -0.000 | Avg R 0.456
U 40000 | F 40000 | G 13333 | D 4 | EPS 0.467 | L 2.040 | R 412.000 | Avg L 0.002 | Avg R 0.412
U 60000 | F 60000 | G 20000 | D 7 | EPS 0.200 | L -3.980 | R 431.000 | Avg L -0.004 | Avg R 0.431
U 80000 | F 80000 | G 26666 | D 9 | EPS 0.001 | L -0.010 | R 519.000 | Avg L -0.000 | Avg R 0.519
U 100000 | F 100000 | G 33333 | D 12 | EPS 0.001 | L 1.000 | R 281.000 | Avg L 0.001 | Avg R 0.281
U 120000 | F 120000 | G 40000 | D 14 | EPS 0.001 | L -0.990 | R 249.000 | Avg L -0.001 | Avg R 0.249
U 140000 | F 140000 | G 46666 | D 17 | EPS 0.001 | L -0.010 | R 222.000 | Avg L -0.000 | Avg R 0.222
U 160000 | F 160000 | G 53333 | D 19 | EPS 0.001 | L -0.990 | R 495.000 | Avg L -0.001 | Avg R 0.495
U 180000 | F 180000 | G 60000 | D 22 | EPS 0.001 | L -0.010 | R 486.000 | Avg L -0.000 | Avg R 0.486
U 200000 | F 200000 | G 66666 | D 24 | EPS 0.001 | L 2.970 | R 500.000 | Avg L 0.003 | Avg R 0.500
U 220000 | F 220000 | G 73333 | D 26 | EPS 0.001 | L 0.010 | R 332.000 | Avg L 0.000 | Avg R 0.332
U 240000 | F 240000 | G 80000 | D 29 | EPS 0.001 | L 0.970 | R 516.000 | Avg L 0.001 | Avg R 0.516
U 260000 | F 260000 | G 86666 | D 31 | EPS 0.001 | L -0.000 | R 524.000 | Avg L -0.000 | Avg R 0.524
U 280000 | F 280000 | G 93333 | D 34 | EPS 0.001 | L -2.941 | R 499.000 | Avg L -0.003 | Avg R 0.499
U 300000 | F 300000 | G 100000 | D 36 | EPS 0.001 | L 0.040 | R 288.000 | Avg L 0.000 | Avg R 0.288
U 320000 | F 320000 | G 106666 | D 39 | EPS 0.001 | L 0.980 | R 503.000 | Avg L 0.001 | Avg R 0.503
U 340000 | F 340000 | G 113333 | D 41 | EPS 0.001 | L 0.990 | R 265.000 | Avg L 0.001 | Avg R 0.265
U 360000 | F 360000 | G 120000 | D 44 | EPS 0.001 | L 1.010 | R 431.000 | Avg L 0.001 | Avg R 0.431
U 380000 | F 380000 | G 126666 | D 46 | EPS 0.001 | L -0.000 | R 252.000 | Avg L -0.000 | Avg R 0.252
U 400000 | F 400000 | G 133333 | D 48 | EPS 0.001 | L -2.020 | R 216.000 | Avg L -0.002 | Avg R 0.216
U 420000 | F 420000 | G 140000 | D 51 | EPS 0.001 | L -0.990 | R 386.000 | Avg L -0.001 | Avg R 0.386
U 440000 | F 440000 | G 146666 | D 53 | EPS 0.001 | L -2.000 | R 342.000 | Avg L -0.002 | Avg R 0.342
U 460000 | F 460000 | G 153333 | D 56 | EPS 0.001 | L 1.990 | R 474.000 | Avg L 0.002 | Avg R 0.474
U 480000 | F 480000 | G 160000 | D 58 | EPS 0.001 | L 3.970 | R 502.000 | Avg L 0.004 | Avg R 0.502
U 500000 | F 500000 | G 166666 | D 61 | EPS 0.001 | L 5.940 | R 492.000 | Avg L 0.006 | Avg R 0.492
U 520000 | F 520000 | G 173333 | D 63 | EPS 0.001 | L 1.010 | R 498.000 | Avg L 0.001 | Avg R 0.498
U 540000 | F 540000 | G 180000 | D 65 | EPS 0.001 | L -1.990 | R 508.000 | Avg L -0.002 | Avg R 0.508
U 560000 | F 560000 | G 186666 | D 68 | EPS 0.001 | L -1.000 | R 253.000 | Avg L -0.001 | Avg R 0.253
U 580000 | F 580000 | G 193333 | D 73 | EPS 0.001 | L 0.980 | R 253.000 | Avg L 0.001 | Avg R 0.253
U 600000 | F 600000 | G 200000 | D 76 | EPS 0.001 | L -1.980 | R 391.000 | Avg L -0.002 | Avg R 0.391
U 620000 | F 620000 | G 206666 | D 79 | EPS 0.001 | L -1.000 | R 350.000 | Avg L -0.001 | Avg R 0.350
U 640000 | F 640000 | G 213333 | D 82 | EPS 0.001 | L -0.010 | R 510.000 | Avg L -0.000 | Avg R 0.510
U 660000 | F 660000 | G 220000 | D 84 | EPS 0.001 | L 1.980 | R 261.000 | Avg L 0.002 | Avg R 0.261
U 680000 | F 680000 | G 226666 | D 87 | EPS 0.001 | L -1.980 | R 391.000 | Avg L -0.002 | Avg R 0.391
U 700000 | F 700000 | G 233333 | D 89 | EPS 0.001 | L -2.000 | R 516.000 | Avg L -0.002 | Avg R 0.516
U 720000 | F 720000 | G 240000 | D 92 | EPS 0.001 | L -0.010 | R 394.000 | Avg L -0.000 | Avg R 0.394
