main.py --seed 7

Namespace(algo='q-learning', convg=0.5, env='tokens-v0', eps_final=0.001, eps_frames=6000, eps_start=1.0, frames=45000, games=500, gamma=1.0, log_interval=1, lr=0, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 1.000 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 4 | F 4 | G 1 | D 0 | EPS 1.000 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 5 | F 5 | G 1 | D 0 | EPS 0.999 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 6 | F 6 | G 1 | D 0 | EPS 0.999 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 6 | F 6 | G 2 | D 0 | EPS 0.999 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 7 | F 7 | G 2 | D 0 | EPS 0.999 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 8 | F 8 | G 2 | D 0 | EPS 0.999 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 9 | F 9 | G 2 | D 0 | EPS 0.999 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 9 | F 9 | G 3 | D 0 | EPS 0.999 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 10 | F 10 | G 3 | D 0 | EPS 0.999 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 11 | F 11 | G 3 | D 0 | EPS 0.998 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 12 | F 12 | G 3 | D 0 | EPS 0.998 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 12 | F 12 | G 4 | D 0 | EPS 0.998 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 13 | F 13 | G 4 | D 0 | EPS 0.998 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 14 | F 14 | G 4 | D 0 | EPS 0.998 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 15 | F 15 | G 4 | D 0 | EPS 0.998 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 15 | F 15 | G 5 | D 0 | EPS 0.998 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 16 | F 16 | G 5 | D 0 | EPS 0.998 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 17 | F 17 | G 5 | D 0 | EPS 0.997 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 18 | F 18 | G 5 | D 0 | EPS 0.997 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 18 | F 18 | G 6 | D 0 | EPS 0.997 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 19 | F 19 | G 6 | D 0 | EPS 0.997 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 20 | F 20 | G 6 | D 0 | EPS 0.997 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 21 | F 21 | G 6 | D 0 | EPS 0.997 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 21 | F 21 | G 7 | D 0 | EPS 0.997 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 22 | F 22 | G 7 | D 0 | EPS 0.997 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 23 | F 23 | G 7 | D 0 | EPS 0.996 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 24 | F 24 | G 7 | D 0 | EPS 0.996 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 24 | F 24 | G 8 | D 0 | EPS 0.996 | L -5.000 | R 3.000 | Avg L -0.625 | Avg R 0.375
U 25 | F 25 | G 8 | D 0 | EPS 0.996 | L -5.000 | R 3.000 | Avg L -0.625 | Avg R 0.375
U 26 | F 26 | G 8 | D 0 | EPS 0.996 | L -5.000 | R 3.000 | Avg L -0.625 | Avg R 0.375
U 27 | F 27 | G 8 | D 0 | EPS 0.996 | L -5.000 | R 3.000 | Avg L -0.625 | Avg R 0.375
U 27 | F 27 | G 9 | D 0 | EPS 0.996 | L -5.000 | R 4.000 | Avg L -0.556 | Avg R 0.444
U 28 | F 28 | G 9 | D 0 | EPS 0.996 | L -5.000 | R 4.000 | Avg L -0.556 | Avg R 0.444
U 29 | F 29 | G 9 | D 0 | EPS 0.995 | L -5.000 | R 4.000 | Avg L -0.556 | Avg R 0.444
