main.py --seed 7

Namespace(algo='q-learning', convg=1e-05, env='tokens-v0', eps_final=0.001, eps_frames=1500, eps_start=1.0, frames=30000, games=500, gamma=1.0, log_interval=1, lr=0.1, model=None, save_interval=1, seed=7)

Environments loaded

Training status loaded

U 3 | F 3 | G 1 | D 0 | EPS 0.998 | LR 0.09970 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 4 | F 4 | G 1 | D 0 | EPS 0.998 | LR 0.09970 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 5 | F 5 | G 1 | D 0 | EPS 0.997 | LR 0.09960 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 6 | F 6 | G 1 | D 0 | EPS 0.997 | LR 0.09950 | L 0.000 | R 1.000 | Avg L 0.000 | Avg R 1.000
U 6 | F 6 | G 2 | D 0 | EPS 0.996 | LR 0.09940 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 7 | F 7 | G 2 | D 0 | EPS 0.996 | LR 0.09940 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 8 | F 8 | G 2 | D 0 | EPS 0.995 | LR 0.09930 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 9 | F 9 | G 2 | D 0 | EPS 0.995 | LR 0.09920 | L -1.000 | R 1.000 | Avg L -0.500 | Avg R 0.500
U 9 | F 9 | G 3 | D 0 | EPS 0.994 | LR 0.09910 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 10 | F 10 | G 3 | D 0 | EPS 0.994 | LR 0.09910 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 11 | F 11 | G 3 | D 0 | EPS 0.993 | LR 0.09900 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 12 | F 12 | G 3 | D 0 | EPS 0.993 | LR 0.09890 | L -2.000 | R 1.000 | Avg L -0.667 | Avg R 0.333
U 12 | F 12 | G 4 | D 0 | EPS 0.992 | LR 0.09880 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 13 | F 13 | G 4 | D 0 | EPS 0.992 | LR 0.09880 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 14 | F 14 | G 4 | D 0 | EPS 0.991 | LR 0.09870 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 15 | F 15 | G 4 | D 0 | EPS 0.991 | LR 0.09860 | L -2.000 | R 2.000 | Avg L -0.500 | Avg R 0.500
U 15 | F 15 | G 5 | D 0 | EPS 0.990 | LR 0.09850 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 16 | F 16 | G 5 | D 0 | EPS 0.990 | LR 0.09850 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 17 | F 17 | G 5 | D 0 | EPS 0.989 | LR 0.09840 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 18 | F 18 | G 5 | D 0 | EPS 0.989 | LR 0.09830 | L -3.000 | R 2.000 | Avg L -0.600 | Avg R 0.400
U 18 | F 18 | G 6 | D 0 | EPS 0.988 | LR 0.09820 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 19 | F 19 | G 6 | D 0 | EPS 0.988 | LR 0.09820 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 20 | F 20 | G 6 | D 0 | EPS 0.987 | LR 0.09810 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 21 | F 21 | G 6 | D 0 | EPS 0.987 | LR 0.09800 | L -3.000 | R 3.000 | Avg L -0.500 | Avg R 0.500
U 21 | F 21 | G 7 | D 0 | EPS 0.986 | LR 0.09790 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 22 | F 22 | G 7 | D 0 | EPS 0.986 | LR 0.09790 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 23 | F 23 | G 7 | D 0 | EPS 0.985 | LR 0.09780 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 24 | F 24 | G 7 | D 0 | EPS 0.985 | LR 0.09770 | L -4.000 | R 3.000 | Avg L -0.571 | Avg R 0.429
U 24 | F 24 | G 8 | D 0 | EPS 0.984 | LR 0.09760 | L -5.286 | R 3.000 | Avg L -0.661 | Avg R 0.375
U 25 | F 25 | G 8 | D 0 | EPS 0.984 | LR 0.09760 | L -5.286 | R 3.000 | Avg L -0.661 | Avg R 0.375
U 26 | F 26 | G 8 | D 0 | EPS 0.983 | LR 0.09750 | L -5.286 | R 3.000 | Avg L -0.661 | Avg R 0.375
U 27 | F 27 | G 8 | D 0 | EPS 0.983 | LR 0.09740 | L -5.286 | R 3.000 | Avg L -0.661 | Avg R 0.375
U 27 | F 27 | G 9 | D 0 | EPS 0.982 | LR 0.09730 | L -5.258 | R 4.000 | Avg L -0.584 | Avg R 0.444
U 28 | F 28 | G 9 | D 0 | EPS 0.982 | LR 0.09730 | L -5.258 | R 4.000 | Avg L -0.584 | Avg R 0.444
U 29 | F 29 | G 9 | D 0 | EPS 0.981 | LR 0.09720 | L -5.258 | R 4.000 | Avg L -0.584 | Avg R 0.444
U 30 | F 30 | G 9 | D 0 | EPS 0.981 | LR 0.09710 | L -5.258 | R 4.000 | Avg L -0.584 | Avg R 0.444
U 30 | F 30 | G 10 | D 0 | EPS 0.980 | LR 0.09700 | L -6.258 | R 4.000 | Avg L -0.626 | Avg R 0.400
U 31 | F 31 | G 10 | D 0 | EPS 0.980 | LR 0.09700 | L -6.258 | R 4.000 | Avg L -0.626 | Avg R 0.400
U 32 | F 32 | G 10 | D 0 | EPS 0.979 | LR 0.09690 | L -6.258 | R 4.000 | Avg L -0.626 | Avg R 0.400
U 33 | F 33 | G 10 | D 0 | EPS 0.979 | LR 0.09680 | L -6.258 | R 4.000 | Avg L -0.626 | Avg R 0.400
U 33 | F 33 | G 11 | D 0 | EPS 0.978 | LR 0.09670 | L -7.249 | R 4.000 | Avg L -0.659 | Avg R 0.364
U 34 | F 34 | G 11 | D 0 | EPS 0.978 | LR 0.09670 | L -7.249 | R 4.000 | Avg L -0.659 | Avg R 0.364
U 35 | F 35 | G 11 | D 0 | EPS 0.977 | LR 0.09660 | L -7.249 | R 4.000 | Avg L -0.659 | Avg R 0.364
U 36 | F 36 | G 11 | D 0 | EPS 0.977 | LR 0.09650 | L -7.249 | R 4.000 | Avg L -0.659 | Avg R 0.364
U 36 | F 36 | G 12 | D 0 | EPS 0.976 | LR 0.09640 | L -8.224 | R 4.000 | Avg L -0.685 | Avg R 0.333
U 37 | F 37 | G 12 | D 0 | EPS 0.976 | LR 0.09640 | L -8.224 | R 4.000 | Avg L -0.685 | Avg R 0.333
U 38 | F 38 | G 12 | D 0 | EPS 0.975 | LR 0.09630 | L -8.224 | R 4.000 | Avg L -0.685 | Avg R 0.333
U 39 | F 39 | G 12 | D 0 | EPS 0.975 | LR 0.09620 | L -8.224 | R 4.000 | Avg L -0.685 | Avg R 0.333
U 39 | F 39 | G 13 | D 0 | EPS 0.974 | LR 0.09610 | L -8.213 | R 5.000 | Avg L -0.632 | Avg R 0.385
U 40 | F 40 | G 13 | D 0 | EPS 0.974 | LR 0.09610 | L -8.213 | R 5.000 | Avg L -0.632 | Avg R 0.385
U 41 | F 41 | G 13 | D 0 | EPS 0.973 | LR 0.09600 | L -8.213 | R 5.000 | Avg L -0.632 | Avg R 0.385
U 42 | F 42 | G 13 | D 0 | EPS 0.973 | LR 0.09590 | L -8.213 | R 5.000 | Avg L -0.632 | Avg R 0.385
U 42 | F 42 | G 14 | D 0 | EPS 0.972 | LR 0.09580 | L -9.015 | R 5.000 | Avg L -0.644 | Avg R 0.357
U 43 | F 43 | G 14 | D 0 | EPS 0.972 | LR 0.09580 | L -9.015 | R 5.000 | Avg L -0.644 | Avg R 0.357
